"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","640","285","350","198","0","12","0","12","19","31","0","12","17","28","0","12","0","12","0","12","51","81","0","12","38","42","0","12","17","28","0","12","59","83","44","71","63","74","0","12","0","12","42","42","0","12","0","12","0","12","290","139","0","12","0","12","19","30","0","12","45","72","0","12","0","12","0","12","0","12","0","12","10","21","0","12","28","43","17","28","85","66","23","37","0","12","0","12","0","12","26","33","21","32","0","12","16","25",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","2286","526","1107","316","228","155","86","61","70","84","0","12","0","12","24","39","0","12","69","65","63","82","130","89","99","87","90","89","0","12","55","61","61","68","41","45","26","33","54","87","11","19","0","12","0","12","0","12","0","12","1179","303","136","128","46","44","70","84","0","12","53","86","30","36","97","113","24","31","117","58","222","145","54","54","21","39","62","77","26","26","122","108","13","21","22","26","38","59","0","12","16","26","0","12","0","12","10","18",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1718","394","1033","247","0","12","17","27","36","64","0","12","0","12","0","12","0","12","27","41","52","44","177","130","79","72","87","82","66","68","76","80","178","124","16","25","64","76","25","32","49","47","11","23","25","39","38","57","10","22","685","245","0","12","12","19","18","31","0","12","0","12","0","12","18","40","40","64","72","53","44","45","40","37","70","58","90","77","76","74","100","79","21","31","23","34","0","12","10","22","9","19","0","12","0","12","42","56",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","1761","514","779","275","21","44","84","79","51","67","0","12","16","26","0","12","0","12","36","58","31","42","96","77","40","47","88","64","104","81","5","12","84","103","0","12","54","48","12","19","57","81","0","12","0","12","0","12","0","12","982","365","37","66","23","36","30","55","12","32","34","59","66","103","0","12","82","79","6","12","92","75","185","151","30","35","165","127","57","49","41","49","53","79","10","21","28","45","0","12","0","12","0","12","31","50","0","12",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1918","735","956","371","151","128","131","117","0","12","86","102","0","12","0","12","0","12","0","12","42","38","55","90","93","87","186","115","61","71","22","34","41","69","30","39","15","25","0","12","0","12","43","48","0","12","0","12","0","12","962","456","25","40","24","44","127","84","81","139","93","159","0","12","29","49","23","36","74","82","61","100","60","79","72","58","96","86","76","87","47","56","0","12","0","12","0","12","0","12","0","12","74","83","0","12","0","12",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","2188","853","1130","398","69","112","69","76","144","161","62","76","0","12","0","12","26","46","23","36","54","72","0","12","115","75","335","224","74","79","51","56","32","38","0","12","0","12","15","24","0","12","15","25","15","25","31","49","0","12","1058","573","241","231","153","154","62","75","0","12","23","41","0","12","0","12","0","12","107","109","94","79","42","51","104","89","0","12","20","34","0","12","91","112","12","27","80","131","0","12","0","12","29","45","0","12","0","12",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","1621","463","1028","287","12","22","66","65","103","73","23","29","21","33","0","12","5","11","38","48","101","128","140","114","59","39","35","41","81","78","121","99","68","73","37","58","30","48","0","12","17","37","0","12","0","12","0","12","71","79","593","276","36","40","22","38","18","29","0","12","0","12","0","12","0","12","105","150","0","12","61","60","16","26","161","193","37","42","40","48","36","57","0","12","45","48","0","12","0","12","0","12","0","12","16","25","0","12",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","1561","361","708","203","71","51","36","33","0","12","20","32","0","12","21","36","0","12","0","12","46","38","31","35","62","54","31","38","61","54","36","35","113","48","19","22","44","39","25","32","34","22","51","37","0","12","0","12","7","14","853","195","51","39","19","34","65","45","16","18","52","44","0","12","0","12","12","19","116","65","30","37","52","37","32","38","52","69","23","28","78","48","53","40","21","32","23","33","12","19","65","48","7","14","7","11","67","49",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","1593","422","698","176","76","56","0","12","100","66","15","28","33","39","6","11","68","63","18","23","7","12","57","38","49","44","22","26","30","32","60","47","46","40","46","70","7","11","0","12","36","42","0","12","0","12","0","12","22","34","895","336","59","44","32","34","47","50","6","13","39","29","25","27","0","12","83","95","141","101","79","45","95","58","25","29","98","101","96","79","42","37","0","12","10","13","7","11","0","12","0","12","11","18","0","12","0","12",
