"GEO_ID","NAME","B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","640","285","85","79","36","57","0","12","0","12","0","12","36","57","0","12","0","12","0","12","36","57","36","57","0","12","49","54","49","54","49","54","0","12","0","12","555","294","517","298","517","298","507","292","10","21","0","12","0","12","0","12","0","12","0","12","0","12","0","12","38","42","38","42","38","42","0","12","0","12",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","2286","526","1001","460","670","452","285","355","285","355","0","12","385","286","0","12","0","12","0","12","385","286","385","286","0","12","331","149","236","141","223","138","13","21","95","45","1285","468","782","425","464","298","464","298","0","12","318","272","0","12","0","12","0","12","318","272","318","272","0","12","503","232","366","163","244","147","122","92","137","119",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1618","393","167","115","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","167","115","146","108","146","108","0","12","21","33","1451","400","645","375","552","370","552","370","0","12","93","83","0","12","0","12","0","12","93","83","93","83","0","12","806","243","713","201","608","190","105","84","93","84",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","1761","514","496","386","305","330","0","12","0","12","0","12","305","330","17","27","0","12","17","27","288","326","288","326","0","12","191","165","117","99","82","87","35","42","74","92","1265","363","933","352","472","247","450","236","22","35","461","300","159","139","159","139","0","12","302","268","277","270","25","44","332","145","282","117","243","109","39","43","50","56",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1918","735","770","613","725","613","0","12","0","12","0","12","725","613","142","233","142","233","0","12","583","575","583","575","0","12","45","54","10","18","0","12","10","18","35","39","1148","373","862","334","614","275","614","275","0","12","248","203","121","142","50","78","71","83","127","153","127","153","0","12","286","196","177","106","94","76","83","85","109","115",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","2188","853","735","544","600","511","534","497","534","497","0","12","66","106","0","12","0","12","0","12","66","106","66","106","0","12","135","148","135","148","126","145","9","18","0","12","1453","777","1218","783","1083","728","1083","728","0","12","135","148","17","37","17","37","0","12","118","144","118","144","0","12","235","145","159","84","123","72","36","42","76","84",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","1607","461","199","155","46","85","46","85","46","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","153","115","58","66","58","66","0","12","95","94","1408","498","927","392","501","307","501","307","0","12","426","366","239","296","239","296","0","12","187","208","148","164","39","60","481","339","345","238","264","207","81","123","136","160",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","1277","321","283","175","162","163","108","145","108","145","0","12","54","61","18","28","0","12","18","28","36","54","36","54","0","12","121","53","107","53","107","53","0","12","14","22","994","318","620","286","150","203","150","203","0","12","470","266","224","195","206","178","18","28","246","159","246","159","0","12","374","160","272","97","172","71","100","64","102","81",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","1548","421","187","142","120","134","83","129","62","97","21","32","37","45","16","24","16","24","0","12","21","38","21","38","0","12","67","48","42","32","36","31","6","10","25","32","1361","394","1056","381","625","276","625","276","0","12","431","265","152","136","106","95","46","41","279","259","268","257","11","20","305","161","210","90","113","51","97","76","95","80",
