"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","125366","101344",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","22190","5181",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","60033","25976",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","36667","20637",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","50739","32853",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","38082","26828",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","65735","41679",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","31576","18193",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","61833","24774",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","44069","19608",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","61736","36365",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","37317","11896",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","53485","31638",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","50293","21780",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","44412","25330",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","-","**",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","32422","20999",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","46979","10055",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","39360","22137",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","44018","17800",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","36613","9719",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","14050","4149",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","22847","10362",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","67500","32555",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","143292","49076",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","51165","8224",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","43323","18933",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","32422","21770",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","67639","11678",
"1500000US170310107021","Block Group 1, Census Tract 107.02, Cook County, Illinois","48750","14675",
"1500000US170310107022","Block Group 2, Census Tract 107.02, Cook County, Illinois","46317","1651",
"1500000US170310107023","Block Group 3, Census Tract 107.02, Cook County, Illinois","49583","27093",
"1500000US170310107024","Block Group 4, Census Tract 107.02, Cook County, Illinois","-","**",
"1500000US170310201001","Block Group 1, Census Tract 201, Cook County, Illinois","73264","26760",
"1500000US170310201002","Block Group 2, Census Tract 201, Cook County, Illinois","45685","7199",
"1500000US170310202001","Block Group 1, Census Tract 202, Cook County, Illinois","140306","23644",
"1500000US170310202002","Block Group 2, Census Tract 202, Cook County, Illinois","-","**",
"1500000US170310202003","Block Group 3, Census Tract 202, Cook County, Illinois","101630","49954",
"1500000US170310202004","Block Group 4, Census Tract 202, Cook County, Illinois","126674","33843",
"1500000US170310203011","Block Group 1, Census Tract 203.01, Cook County, Illinois","58875","9369",
"1500000US170310203012","Block Group 2, Census Tract 203.01, Cook County, Illinois","55609","30386",
"1500000US170310203013","Block Group 3, Census Tract 203.01, Cook County, Illinois","85878","22673",
"1500000US170310203021","Block Group 1, Census Tract 203.02, Cook County, Illinois","80765","35168",
"1500000US170310203022","Block Group 2, Census Tract 203.02, Cook County, Illinois","103523","27514",
"1500000US170310203023","Block Group 3, Census Tract 203.02, Cook County, Illinois","86250","29286",
"1500000US170310204001","Block Group 1, Census Tract 204, Cook County, Illinois","61053","37659",
"1500000US170310204002","Block Group 2, Census Tract 204, Cook County, Illinois","65673","39111",
"1500000US170310204003","Block Group 3, Census Tract 204, Cook County, Illinois","66917","11354",
