"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","284","93","163","85","121","79",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","1056","215","191","148","865","190",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1113","216","447","145","666","185",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","856","199","429","163","427","155",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","621","192","115","66","506","200",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","745","242","107","68","638","245",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","673","241","155","84","518","237",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","587","100","116","49","471","95",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","596","132","170","81","426","107",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","486","127","253","86","233","84",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","987","321","290","109","697","314",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","842","205","184","110","658","205",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","720","189","298","101","422","178",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","625","169","116","84","509","152",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","618","197","237","126","381","178",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","971","465","147","80","824","479",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","550","196","70","51","480","194",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","945","153","75","44","870","162",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","811","198","97","54","714","190",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","517","101","122","49","395","101",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","992","125","213","86","779","104",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","692","138","100","39","592","135",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","366","99","53","42","313","96",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","854","221","260","91","594","229",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","302","219","273","222","29","34",
"1500000US170310106003","Block Group 3, Census Tract 106, Cook County, Illinois","1032","236","270","182","762","181",
"1500000US170310106004","Block Group 4, Census Tract 106, Cook County, Illinois","667","176","32","22","635","176",
"1500000US170310107011","Block Group 1, Census Tract 107.01, Cook County, Illinois","652","195","207","91","445","185",
"1500000US170310107012","Block Group 2, Census Tract 107.01, Cook County, Illinois","849","108","480","100","369","87",
"1500000US170310107021","Block Group 1, Census Tract 107.02, Cook County, Illinois","596","97","132","65","464","110",
"1500000US170310107022","Block Group 2, Census Tract 107.02, Cook County, Illinois","402","117","50","42","352","112",
"1500000US170310107023","Block Group 3, Census Tract 107.02, Cook County, Illinois","568","130","140","62","428","123",
"1500000US170310107024","Block Group 4, Census Tract 107.02, Cook County, Illinois","269","132","56","39","213","128",
"1500000US170310201001","Block Group 1, Census Tract 201, Cook County, Illinois","699","140","237","99","462","121",
"1500000US170310201002","Block Group 2, Census Tract 201, Cook County, Illinois","777","188","336","94","441","192",
"1500000US170310202001","Block Group 1, Census Tract 202, Cook County, Illinois","427","102","417","101","10","20",
"1500000US170310202002","Block Group 2, Census Tract 202, Cook County, Illinois","415","145","100","57","315","141",
"1500000US170310202003","Block Group 3, Census Tract 202, Cook County, Illinois","524","150","492","146","32","40",
"1500000US170310202004","Block Group 4, Census Tract 202, Cook County, Illinois","657","228","488","195","169","142",
"1500000US170310203011","Block Group 1, Census Tract 203.01, Cook County, Illinois","983","192","870","189","113","60",
"1500000US170310203012","Block Group 2, Census Tract 203.01, Cook County, Illinois","637","177","409","151","228","111",
"1500000US170310203013","Block Group 3, Census Tract 203.01, Cook County, Illinois","513","99","368","80","145","68",
"1500000US170310203021","Block Group 1, Census Tract 203.02, Cook County, Illinois","366","79","214","81","152","72",
"1500000US170310203022","Block Group 2, Census Tract 203.02, Cook County, Illinois","387","160","239","152","148","68",
"1500000US170310203023","Block Group 3, Census Tract 203.02, Cook County, Illinois","850","125","618","117","232","94",
"1500000US170310204001","Block Group 1, Census Tract 204, Cook County, Illinois","392","145","156","55","236","144",
"1500000US170310204002","Block Group 2, Census Tract 204, Cook County, Illinois","535","103","337","84","198","78",
"1500000US170310204003","Block Group 3, Census Tract 204, Cook County, Illinois","723","125","321","73","402","123",
"1500000US170310205001","Block Group 1, Census Tract 205, Cook County, Illinois","768","216","88","76","680","214",
"1500000US170310205002","Block Group 2, Census Tract 205, Cook County, Illinois","475","188","119","70","356","202",
"1500000US170310205003","Block Group 3, Census Tract 205, Cook County, Illinois","543","121","220","107","323","100",
"1500000US170310205004","Block Group 4, Census Tract 205, Cook County, Illinois","317","187","44","41","273","196",
"1500000US170310206011","Block Group 1, Census Tract 206.01, Cook County, Illinois","584","158","350","81","234","140",
"1500000US170310206012","Block Group 2, Census Tract 206.01, Cook County, Illinois","1065","313","406","220","659","260",
"1500000US170310206013","Block Group 3, Census Tract 206.01, Cook County, Illinois","349","134","225","117","124","101",
"1500000US170310206021","Block Group 1, Census Tract 206.02, Cook County, Illinois","454","142","239","120","215","100",
"1500000US170310206022","Block Group 2, Census Tract 206.02, Cook County, Illinois","214","87","72","54","142","77",
"1500000US170310206023","Block Group 3, Census Tract 206.02, Cook County, Illinois","408","130","139","54","269","134",
"1500000US170310206024","Block Group 4, Census Tract 206.02, Cook County, Illinois","556","314","352","267","204","172",
"1500000US170310207011","Block Group 1, Census Tract 207.01, Cook County, Illinois","447","144","370","142","77","38",
"1500000US170310207012","Block Group 2, Census Tract 207.01, Cook County, Illinois","283","38","168","37","115","37",
"1500000US170310207021","Block Group 1, Census Tract 207.02, Cook County, Illinois","589","174","161","76","428","176",
"1500000US170310207022","Block Group 2, Census Tract 207.02, Cook County, Illinois","782","194","272","137","510","204",
"1500000US170310207023","Block Group 3, Census Tract 207.02, Cook County, Illinois","590","156","240","139","350","131",
"1500000US170310207024","Block Group 4, Census Tract 207.02, Cook County, Illinois","421","234","265","221","156","74",
"1500000US170310208011","Block Group 1, Census Tract 208.01, Cook County, Illinois","583","160","314","116","269","119",
"1500000US170310208012","Block Group 2, Census Tract 208.01, Cook County, Illinois","415","220","273","107","142","204",
"1500000US170310208013","Block Group 3, Census Tract 208.01, Cook County, Illinois","425","171","115","71","310","163",
"1500000US170310208014","Block Group 4, Census Tract 208.01, Cook County, Illinois","772","226","231","108","541","226",
"1500000US170310208021","Block Group 1, Census Tract 208.02, Cook County, Illinois","326","112","177","86","149","99",
"1500000US170310208022","Block Group 2, Census Tract 208.02, Cook County, Illinois","588","181","230","99","358","167",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","847","202","68","63","779","218",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","405","147","212","114","193","108",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","827","271","379","230","448","169",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","416","131","82","43","334","133",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","944","246","355","193","589","175",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","924","157","472","84","452","154",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","667","153","317","73","350","153",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","435","132","7","12","428","133",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","441","141","120","69","321","143",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","551","140","43","44","508","136",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","529","133","409","130","120","73",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","556","92","391","82","165","78",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","737","112","10","16","727","113",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","529","164","238","131","291","95",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","394","97","111","59","283","78",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","566","94","179","57","387","73",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","694","104","341","85","353","115",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","314","72","8","12","306","70",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","663","141","242","84","421","137",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","613","108","299","72","314","87",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","390","121","262","78","128","97",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","831","265","290","112","541","264",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","661","124","205","97","456","93",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","836","194","237","92","599","186",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","713","84","221","61","492","95",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","506","126","231","77","275","103",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","724","185","408","164","316","119",
"1500000US170310305002","Block Group 2, Census Tract 305, Cook County, Illinois","747","184","321","96","426","157",
