GEOID,neighbors
0,"170318117022,170318168001,170318118004,170318118003,170318167002,170318117021"
1,"170318288022,170318287014,170318288014,170318286022,170318286011,170318288013"
2,"170310207022,170310207023,170310208024,170310208014,170310208021,170310208023,170310208012,170310207011"
3,"170310706001,170310707001,170310626001,170310627003,170310705003,170310627001,170310628003,170310628002"
4,"170318045121,170318045142,170318045131,170318044063,170318045141,170318044062"
5,"170318285032,170318285033,170318285043,170318285044"
6,"170318303004,170318301002,170318302012,170318302022,170318303002,170318293022,170318294023,170318300062,170318301001,170318294011"
7,"170318239032,170318239012,170318238013,170318238012,170318241051,170318241161,170318238011,170318239031,170318239034"
8,"170318263034,170318262012,170318278021,170318278022,170318279011,170318262011,170318279024,170318262013,170318263043"
9,"170318224003,170318224004,170318230023,170318223021,170318223023,170318223024,170318224002,170318226024,170318230013,170318230014,170318230021,170318230022,170318226013,170318230011"
10,"170318205014,170318206042,170318205012"
11,"170316406001,170318209014,170318209012,170318209013,170318209021,170318209023,170316505003,170318209024,170318210012,170318205021,170318210013,170318205022,170316406002,170316405001,170318205023,170316406003,170316407001,170316407002,170316407003,170316407004,170316408001,170316408002,170316405002"
12,"170316720004,170317104005,170317104001,170317104002,170317104003"
13,"170315611004,170316403003,170315611006,170315608004,170315608005,170316403004,170316403006,170315608003"
14,"170311906011,170311906012,170311913011,170318316004,170311904012,170311801001,170311904011,170311711003,170311913013,170311710002,170318316001,170311801002,170318315002"
15,"170311907023,170311908002,170311907022,170311911001,170311911004,170311911005,170311908004,170311909001,170311910001,170311912001"
16,"170311908002,170311911001,170311901001,170312002003,170311908003,170312002004,170311910001,170312003002,170311908001,170311902004,170312001003"
17,"170311911001,170312002003,170312004012,170312004011,170311908003,170311909001,170312003002,170311910002"
18,"170312004012,170312004011,170311911001,170312502001,170318312002,170311910001,170311911002,170312305002,170318313001"
19,"170311910002,170311911001,170312502001,170311911003,170311911004,170318313001"
20,"170312216001,170318309001,170318322002,170318323001"
21,"170318322001,170318310002,170312222001,170318322003,170312216001,170318323001"
22,"170312402001,170312403001,170318322002,170318310001,170318322003,170318323001"
23,"170318322002,170318310001,170312222002,170318322003,170312216001,170312216002"
24,"170312216001,170312216002,170312406001,170318310001,170312405001,170312222001,170318324002,170312215001"
25,"170318324001,170312216002,170312405001,170312406001,170312222002,170312214003,170312215001,170312407001"
26,"170312406001,170312407001,170312213002,170312225001,170318324002,170312214003"
27,"170312211003,170312228001,170312227001,170312302001,170312211002,170312303001,170312210002"
28,"170312421001,170312421003,170312422001,170312422002,170312414003"
29,"170312414004,170312423001,170312422002,170312421003,170312421002,170312423002,170312414003"
30,"170310631001,170310633024,170310632005,170310632001,170310633012,170310634002"
31,"170318046091,170318046033,170318046101,170317702022,170318046092"
32,"170318370002,170318374001,170318369001,170318367002,170312428001,170318378001,170318371001"
33,"170318431002,170318447001,170318447003,170318415001,170318431001,170312912001,170312922001"
34,"170318258034,170318258012,170318263043,170318258021,170318258031"
35,"170318036111,170318036122"
36,"170318043052,170318043081,170318048054,170318043082,170318047113,170318043053"
37,"170314401012,170314401021,170314401024,170314401011,170314401014"
38,"170314313023,170314313012,170314313013,170314314002,170314314003,170314603021,170314601001"
39,"170317005022,170317005014,170317004011,170317004014"
40,"170310634001,170310633023,170310633011,170310702001,170310701022,170310701013"
41,"170314301012,170314301011,170314301023,170314301021,170314306001"
42,"170318439003,170314301022,170314301012,170318439004,170314301013,170314301011,170314301021"
43,"170314301022,170314301023,170318439004,170314306001,170314307001,170319900000,170314307002,170318439001,170318439003"
44,"170314302002,170314302001,170314301011,170314301023,170318439004,170318439005,170314301014"
45,"170314302001,170318439001,170318439004,170314301013,170318439005"
46,"170316308004,170316309001,170316603023,170316604001,170316604002,170316603024,170316603011"
47,"170318318005,170311403022,170311302001,170311403021,170311404001"
48,"170311406021,170311406024,170311403012,170311406022,170311406011,170311403011"
49,"170318102002,170310103002,170310101003,170310101001,170318100003,170310102021"
50,"170310103001,170310101002,170310101003,170318100003,170310103004,170310102021"
51,"170317702021,170317702011,170317703003,170317703004,170317703001"
52,"170318051073,170317705002,170317704001,170318051075,170318051115"
53,"170318051072,170318051073,170317704001,170318051074,170318051081,170317703001,170318051084"
54,"170317706012,170317706021,170317706011,170318064002,170318065011,170318065024"
55,"170318025032,170318025042,170318024043,170318024031,170318025041,170318024042"
56,"170318025042,170318024021,170318024042,170318025043,170318025052,170318025044,170318024044,170318025041"
57,"170318201011,170318201012,170318201044,170318201015,170318201016,170318202041"
58,"170318201015,170318202041,170318201017"
59,"170318206042,170318202023,170318237042,170318238013,170318206053,170318206051,170318206061,170318206032,170318206031"
60,"170318202021,170318202023,170318206032,170318202022,170318206062"
61,"170318206051,170318206041,170318206042,170318205015,170318237033,170318237041,170318237051"
62,"170317608021,170311705001,170311706001,170311706002,170311705003"
63,"170318105015,170317608021,170311705001,170311705002,170311705004"
64,"170311906012,170311906013,170311906021,170311913013,170318315001,170311913012,170311913021,170318315002"
65,"170311908004,170311907011,170311907021,170311907022,170311902004,170311903004,170311908005"
66,"170311907012,170311907021,170311907022,170311904022,170311906022,170311903004"
67,"170312209021,170312209022,170312004021,170312004022,170312004023,170312209011,170312229001"
68,"170312004011,170312004022,170312004023,170318312002,170311910001,170311910002,170312003002,170312004021"
69,"170318309003,170318437001,170318309001,170312101001,170312108001,170312109002,170318437002"
70,"170312107002,170312107001,170312106011,170312101002,170318311001,170312106012,170312106021"
71,"170316009004,170318432002,170318404001,170316006001,170316007001,170316006002,170318397001"
72,"170318426004,170318426003,170318438001,170318355002,170318356001,170318426001"
73,"170315305012,170315305021,170315304001,170318214021,170315305013,170315305033"
74,"170318347002,170316805001,170316701001,170316119002,170316122003,170316121001,170316120001"
75,"170316112001,170316119001,170316118001,170316113002,170316113001,170318426002,170316119002,170316104001,170316122001,170316122002"
76,"170316702001,170316703002,170316113002,170316122002,170316119002,170316112002,170316118001"
77,"170316702001,170316112002,170316119001,170316117001,170316114002,170316113002,170316118002,170316703002"
78,"170318347001,170318347002,170316805001,170316120002,170318438002,170318347003,170318438001,170316122003"
79,"170318047151,170318047095,170318047092,170318047091"
80,"170318245032,170318244001,170318246012,170318246013,170318245031,170318236022,170318245033,170318236021"
81,"170318046071,170318046061,170318046074,170318046062"
82,"170318047121,170318047122,170318047161,170318047162,170318047101,170318047113,170318047114"
83,"170318035003,170318051072,170318051052,170318051104,170318051092,170318051061"
84,"170318236031,170318236032,170318243001,170318244001,170318243002"
85,"170318133021,170312909004,170318314001,170318430002,170318133012,170318133013"
86,"170318245071,170318245081,170318245082,170318241073,170318241232,170318241071,170318241072,170318241231"
87,"170318241221,170318245071,170318253031,170318241235,170318241222,170318241231,170318253042"
88,"170313801001,170313602001,170318364001,170318364002,170313510001,170319900000,170318365001,170318364003"
89,"170313801001,170313903002,170318360003,170318364002,170318365002,170313902002"
90,"170313806004,170318446001,170316108001,170318355001,170318426001,170318438001,170318356001,170313817001"
91,"170318446001,170316108001,170318438002,170318438001,170318361002,170318355002,170318356002,170313817001"
92,"170318438002,170318346002,170318438001,170318361002,170318345001,170318356001,170313817001"
93,"170310103001,170310103002,170310106002,170310107024,170310102022,170310103003,170310102021"
94,"170318102003,170318103014,170310202004,170318102006,170310102013,170310201001,170310102011"
95,"170310102014,170310102012,170310102013,170310201002,170310107012,170310201001,170310204001"
96,"170310103002,170310103004,170318100003,170310103003"
97,"170310105012,170310104001,170310105011,170310105013,170310103003,170318100003,170310104003"
98,"170310105022,170310104002,170310105013,170310104003"
99,"170310105021,170310105031,170310104003,170310106003"
100,"170310106002,170310106004,170310107024,170310107012,170310107011,170310107022"
101,"170318306004,170310205003,170310209021,170310209011,170310205004"
102,"170313011001,170313009001,170318435001,170313012002"
103,"170318036051,170318036042,170318036043,170318036131,170318036163,170318036112,170318036161,170318036083,170318036142,170318036081"
104,"170318041064,170318041051,170318041091,170318041023,170318041092,170318041082,170318041063"
105,"170318048031,170318048092,170318048032,170318046111,170318046064,170318046062,170318048104,170318046072"
106,"170318069002,170318070002,170318068014,170318070004,170318068023,170318068022"
107,"170318241132,170318241192,170318241292,170318241164,170318241142,170318241133,170318241131,170318241161,170318241163"
108,"170310313001,170310313003,170310307061"
109,"170313907001,170319900000,170313901001,170314101002"
110,"170318025032,170318025044,170318025041,170318030131,170318024042"
111,"170318026055,170318026093,170318026101,170318026092,170318025052,170318025053,170318026051"
112,"170318206042,170318237041,170318206062,170318206052,170318206053"
113,"170318213002,170318236032,170318213004,170318243003,170318243001,170318233023,170318234004,170318234003,170318268003"
114,"170318244001,170318236031,170318232002,170318245031,170318243003,170318233023,170318233022,170318236021"
115,"170318240051,170318240042,170318240032,170318240033,170318240052,170318240043,170318240041"
116,"170318236023,170318236043,170318236022,170318245033,170318236051,170318236052"
117,"170312107002,170312205002,170312205001,170312213001,170312212002,170312108001,170312204001"
118,"170312413001,170312414001,170312415003,170318310001,170312403001,170312406001,170312222002,170318324002,170312411001,170312412001,170312412002"
119,"170312411001,170312405001,170312222002,170312410001,170318324001,170312411002,170312407001,170312412002,170318324002"
120,"170312225001,170312409001,170312408001,170312410002,170312406001,170312410001,170318324001,170312411002,170318324002"
121,"170318312003,170312305001,170318312002,170312306003,170312306004,170312306006,170311910002,170318313001"
122,"170312315002,170312315004,170312315003,170318367001,170312315001,170318368001,170318368002"
123,"170312426001,170312301001,170312302001,170318366002,170312426002,170312408001,170312410002,170318366001,170312309002,170312309001,170312426004,170312427001,170312407001,170312408002"
124,"170316704001,170316713001,170316706001,170316116002,170316706002,170316607001,170318351001,170318350001,170316714001,170316306002,170316117002"
125,"170316501003,170316605003,170316605004,170316502002,170316501002,170316503013,170316503014,170316503022"
126,"170316504005,170316504001,170316505001,170316605003,170316605004,170316503013,170316503014,170316503021,170316609003"
